"Links","Time","Nome","PPG","RPG","APG","Altura","Peso","País","Idade","Data_de_nascimento","DRAFT","Experiência"
"https://www.nba.com/player/1627763/malcolm-brogdon/","Washington Wizards | #15 | Guard","Malcolm
Brogdon","12.7","3.8","4.1","6'4"" (1.93m)","229lb (104kg)","USA","32 years","December 11, 1992","2016 R2 Pick 36","8 Years"
"https://www.nba.com/player/1628415/dillon-brooks/","Houston Rockets | #9 | Guard-Forward","Dillon
Brooks","14.0","3.8","1.7","6'6"" (1.98m)","225lb (102kg)","Canada","29 years","January 22, 1996","2017 R2 Pick 45","7 Years"
"https://www.nba.com/player/1631232/keion-brooks-jr/","New Orleans Pelicans  | Forward","Keion
Brooks Jr.","2.7","2.7","1.0","6'7"" (2.01m)","210lb (95kg)","USA","24 years","August 7, 2000","Undrafted","Rookie"
"https://www.nba.com/player/1628971/bruce-brown/","New Orleans Pelicans | #00 | Guard-Forward","Bruce
Brown","7.8","3.7","2.0","6'4"" (1.93m)","202lb (92kg)","USA","28 years","August 15, 1996","2018 R2 Pick 42","6 Years"
"https://www.nba.com/player/1627759/jaylen-brown/","Boston Celtics | #7 | Guard-Forward","Jaylen
Brown","22.8","6.1","4.7","6'6"" (1.98m)","223lb (101kg)","USA","28 years","October 24, 1996","2016 R1 Pick 3","8 Years"
"https://www.nba.com/player/1641738/kobe-brown/","LA Clippers | #21 | Forward","Kobe
Brown","2.1","1.7","0.6","6'7"" (2.01m)","250lb (113kg)","USA","25 years","January 1, 2000","2023 R1 Pick 30","1 Year"
"https://www.nba.com/player/1629650/moses-brown/",,"Moses
Brown","5.8","3.4","0.2","7'2"" (2.18m)","258lb (117kg)","USA","25 years","October 13, 1999","Undrafted","5 Years"
"https://www.nba.com/player/1628973/jalen-brunson/","New York Knicks | #11 | Guard","Jalen
Brunson","26.3","3.0","7.4","6'2"" (1.88m)","190lb (86kg)","USA","28 years","August 31, 1996","2018 R2 Pick 33","6 Years"
"https://www.nba.com/player/1628418/thomas-bryant/","Indiana Pacers | #3 | Center-Forward","Thomas
Bryant","6.6","4.0","0.9","6'10"" (2.08m)","248lb (112kg)","USA","27 years","July 31, 1997","2017 R2 Pick 42","7 Years"
"https://www.nba.com/player/1641723/kobe-bufkin/","Atlanta Hawks | #4 | Guard","Kobe
Bufkin","5.3","2.1","1.7","6'4"" (1.93m)","195lb (88kg)","USA","21 years","September 21, 2003","2023 R1 Pick 15","1 Year"
"https://www.nba.com/player/202692/alec-burks/","Miami Heat | #18 | Guard","Alec
Burks","6.1","2.6","1.1","6'5"" (1.96m)","214lb (97kg)","USA","33 years","July 20, 1991","2011 R1 Pick 12","13 Years"
"https://www.nba.com/player/1630215/jared-butler/","Philadelphia 76ers | #12 | Guard","Jared
Butler","7.6","1.7","3.2","6'3"" (1.91m)","193lb (88kg)","USA","24 years","August 25, 2000","2021 R2 Pick 40","3 Years"
"https://www.nba.com/player/202710/jimmy-butler-iii/","Golden State Warriors | #10 | Forward","Jimmy
Butler III","17.3","5.6","5.5","6'7"" (2.01m)","230lb (104kg)","USA","35 years","September 14, 1989","2011 R1 Pick 30","13 Years"
"https://www.nba.com/player/1641824/matas-buzelis/","Chicago Bulls | #14 | Forward","Matas
Buzelis","7.7","3.1","0.8","6'10"" (2.08m)","209lb (95kg)","USA","20 years","October 13, 2004","2024 R1 Pick 11","Rookie"
